pmaster_sku,band_lw,pv_lw,pv_l30d
6018458031730,B,256,
5954362325309,B,256,
7248522498354,A,256,
6162685174675,B,256,
9363144525263,B,257,
4613351001140,B,257,
9624158282203,B,257,
4381122383217,B,257,
8495158977456,A,2,
5490668308904,B,258,
3179028698814,A,3,
9153388271430,B,259,
5773800462143,B,259,
7248549370987,A,4,
2378468155313,B,4,
8799367878477,B,260,
5599756492553,B,260,
8333846757829,B,260,
8590105703003,A,261,
7887701498528,B,6,
2630426028108,A,262,
9203274550870,A,262,
2419000174891,B,263,
5385549762930,B,263,
3585480436138,B,263,
1721565872914,B,263,
8931825389938,B,263,
8404017431512,B,264,
7663886054440,B,264,
4935058128856,B,265,
5752593576497,B,265,
3205700330797,B,265,
4723254485299,B,265,
4414069595174,B,265,
4791192144332,B,266,
6908335624467,B,266,
8243693501386,B,266,
7034031097310,B,266,
3963889488037,B,266,
2627610890258,B,267,
2915927152464,B,267,
6343884714103,B,268,
8650679065330,B,269,
8027793215178,B,269,
8097674104648,B,269,
2211520976593,B,270,
8250303127652,A,272,
3594108984513,B,273,
7106896554090,A,273,
6541773190032,B,274,
1961500176565,B,274,
2746879022942,B,274,
5220823197305,B,275,
4460751254386,B,275,
1610734201391,B,276,
4816133936873,B,276,
8736546292990,A,276,
2742127716560,B,277,
8641448807653,B,278,
2882520342390,B,279,
5949479464055,B,279,
7897696542142,B,27,
6181538872391,B,27,
9337350256996,B,27,
4688596304620,B,27,
5291958123179,B,27,
2014246821016,B,27,
9149504127767,B,27,
6746328822244,B,27,
9325490648336,B,27,
5442141073729,B,27,
9880190075703,B,27,
1543012557015,B,27,
3001903332257,B,27,
6077557677027,B,27,
7544196839492,B,27,
8381062186515,B,27,
4436912451771,B,27,
9976691446435,B,27,
4253425536929,B,27,
5816658769962,B,27,
2356965875978,B,27,
6865435719588,B,27,
1725952976966,B,27,
2969883577703,B,27,
6979656821680,B,27,
6021565971721,B,27,
8992925989404,B,27,
2397454290223,B,27,
5917661958213,B,27,
9762574009120,B,27,
3301567222704,B,27,
9801041783230,B,27,
7943219347941,B,27,
3395763986947,B,27,
8907981773009,B,27,
5530030542454,B,27,
3565885653551,B,27,
3169112225521,B,27,
4386278123520,B,27,
9858133611136,B,27,
9798912137174,B,27,
2203337872630,B,27,
4376808963293,B,27,
6619475787220,B,27,
9862106640337,B,27,
3113665922567,B,27,
7381324766821,B,27,
4261640300040,B,27,
5960235014164,B,27,
4114417082448,B,27,
4395970157413,B,27,
6910575405701,B,27,
6820884410537,B,27,
1099430179782,B,27,
3109135274878,B,27,
5358706989302,B,27,
1977488851013,B,27,
2383526517229,B,27,
7870284496911,B,27,
2967596436065,B,27,
8062561606464,B,27,
9675615302393,B,27,
7176545126585,B,27,
1465203044875,B,27,
7562489824858,B,283,
8648137662634,A,283,
3509233073296,B,28,
6664479418285,B,28,
8854164528259,B,28,
2171446451843,B,28,
1910504500303,B,28,
1360549069579,B,28,
6099105164064,B,28,
9973507386369,B,28,
6584148324401,B,28,
1193621060863,B,28,
2569873525870,B,28,
6021206840928,B,28,
8573709196883,B,28,
8823575232630,B,28,
6454910118907,B,28,
6700108112610,B,28,
4712576635823,B,28,
6579747095227,B,28,
6165070663897,B,28,
2818842955657,B,28,
9582801910340,B,28,
6242672444582,B,28,
6814676419516,B,28,
6859796883458,B,28,
9283449233078,B,28,
2944992489062,B,28,
9150208844373,B,28,
2243008325777,B,28,
9877332283445,B,28,
1476219856110,B,28,
8147262678446,B,28,
6578654390362,B,28,
1214191660208,B,28,
8030636035457,B,28,
6942290222202,B,28,
1438826770261,B,28,
1770584911084,B,28,
2197856623404,B,28,
9524624779968,B,28,
7517047428788,B,28,
7216053523127,B,28,
4843369117173,B,28,
4189853643957,B,28,
1692873627140,B,28,
8786126303356,B,28,
7800360507990,B,28,
4925210347070,B,28,
